Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2000 Toyota Kijang  1.8L LGX,Rp 60 Juta,"350,000 Km",Bensin,Manual,Pekanbaru,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lgx-624462,oto
2021 Toyota Kijang  1.8L SGX,Rp 55 Juta,"121,000 Km",Bensin,Manual,Garut,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-601912,oto
2000 Toyota Kijang  1.8L SGX,Rp 50 Juta,"100,000 Km",Bensin,Manual,Garut,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-600739,oto
2000 Toyota Kijang  1.8L LGX,Rp 54 Juta,"15,000 Km",Bensin,Manual,Garut,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lgx-602066,oto
2008 Daihatsu Xenia  Li Plus,Rp 55 Juta,"100,000 Km",Bensin,Manual,Garut,7 seat,989 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2003-2008-li-plus-598851,oto
2021 Toyota Kijang  1.8L SGX,Rp 50 Juta,"100,000 Km",Bensin,Manual,Garut,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-sgx-566489,oto
2001 Toyota Kijang  1.8L LX,Rp 50 Juta,"191,000 Km",Bensin,Manual,Jakarta Barat,8 seat,1781 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1997-2004-1-8l-lx-573239,oto
2010 Nissan Grand Livina  1.5 SV MT,Rp 60 Juta,"125,481 Km",Bensin,Manual,Kendari,7 seat,1498 CC,https://www.oto.com/detail-mobil-bekas/nissan-grand-livina-2006-2011-1-5-sv-mt-557208,oto
2006 Daihatsu Xenia  Xi Family,Rp 60 Juta,"25,000 Km",Bensin,Manual,Situbondo,7 seat,1298 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2003-2008-xi-family-564793,oto
1993 Toyota Kijang  1.5L MPV Minivans,Rp 47 Juta,"110,000 Km",Bensin,Manual,Kediri,7 seat,1500 CC,https://www.oto.com/detail-mobil-bekas/toyota-kijang-1986-1996-1-5l-mpv-minivans-552870,oto
2004 Toyota Innova BENSIN G 2.0 MT,Rp 60 Juta,"25,000 Km",Bensin,,Situbondo,,,https://www.oto.com/detail-mobil-bekas/toyota-innova-bensin-g-2-0-mt-546554,oto
2020 Toyota Rush S TRD 1.5L AT,Rp 10 Juta,"44,000 Km",Bensin,,Tangerang Selatan,,,https://www.oto.com/detail-mobil-bekas/toyota-rush-s-trd-1-5l-at-639480,oto
2019 Honda Brio Satya E CVT,Rp 10 Juta,"40,302 Km",Bensin,Cvt,Tangerang Selatan,5 seat,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-cvt-628474,oto
2019 Honda Brio Satya E CVT,Rp 10 Juta,"34,549 Km",Bensin,Cvt,Tangerang Selatan,5 seat,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-cvt-628473,oto
2005 Honda Jazz  IDSI M/T,Rp 55 Juta,"140,000 Km",Bensin,,Bekasi,,,https://www.oto.com/detail-mobil-bekas/honda-jazz-2003-2008-idsi-mt-542162,oto
2019 Daihatsu Ayla 1.0L X MT,Rp 50 Juta,"123,456 Km",Bensin,Manual,Bandung,5 seat,998 CC,https://www.oto.com/detail-mobil-bekas/daihatsu-ayla-1-0l-x-mt-548395,oto
2014 Suzuki Swift GL 1.4L MT,Rp 55 Juta,"99,359 Km",Bensin,,Samarinda,,,https://www.oto.com/detail-mobil-bekas/suzuki-swift-gl-1-4l-mt-647498,oto
2007 Honda City E CVT,Rp 57 Juta,"133,412 Km",Bensin,Cvt,Boyolali,5 seat,1498 CC,https://www.oto.com/detail-mobil-bekas/honda-city-e-cvt-647380,oto
2007 Suzuki Karimun  ESTILO,Rp 60 Juta,"50,000 Km",Bensin,,Buleleng,,,https://www.oto.com/detail-mobil-bekas/suzuki-karimun-2007-2014-estilo-599260,oto
2012 Suzuki APV Arena GL MT,Rp 45 Juta,"62,905 Km",Bensin,Manual,Surakarta,8 seat,1493 CC,https://www.oto.com/detail-mobil-bekas/suzuki-apv-arena-gl-mt-643338,oto
2006 Suzuki Carry  FUTURA,Rp 60 Juta,"35,000 Km",Diesel,,Buleleng,,,https://www.oto.com/detail-mobil-bekas/suzuki-carry1999-2013-futura-597807,oto
2017 Suzuki Carry  Futura Pick Up Wide Deck,Rp 37 Juta,"98,228 Km",Bensin,Manual,Bandar Lampung,3 seat,1493 CC,https://www.oto.com/detail-mobil-bekas/suzuki-carry-2013-2017-futura-pick-up-wide-deck-642856,oto
2015 Mitsubishi L300 Pickup Standard,Rp 54 Juta,"43,219 Km",Diesel,Manual,Jember,3 seat,2477 CC,https://www.oto.com/detail-mobil-bekas/mitsubishi-l300-pickup-standard-642942,oto
2014 Mitsubishi L300 Pickup Standard,Rp 50 Juta,"43,217 Km",Diesel,Manual,Jember,3 seat,2477 CC,https://www.oto.com/detail-mobil-bekas/mitsubishi-l300-pickup-standard-642945,oto
2012 Honda City  IVTEC E 1.5 AT,Rp 60 Juta,"75,598 Km",Bensin,,Bandar Lampung,,,https://www.oto.com/detail-mobil-bekas/honda-city-2009-2013-ivtec-e-1-5-at-642860,oto
