Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link,Source
2014 Toyota Fortuner  2.7 G A/T Lux TRD Bensin,280000000,87000,Bensin,Otomatis,Bantul,6,2694 CC,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-2011-2016-2-7-g-at-lux-trd-bensin-631365,oto
2021 Toyota Calya G MT,140000000,27026,Bensin,Manual,Bogor,7,1197 CC,https://www.oto.com/detail-mobil-bekas/toyota-calya-g-mt-633339,oto
2015 Honda CR-V  RM1 2 WD 2.0 AT CKD,195000000,93000,Bensin,Unknown,Jakarta Pusat,0,Unknown,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2012-2017-rm1-2-wd-2-0-at-ckd-632813,oto
2011 Toyota Fortuner  2.5L G Diesel AT,203000000,199000,Diesel,Unknown,Surabaya,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-fortuner-2008-2011-2-5l-g-diesel-at-632076,oto
2014 Mitsubishi Pajero Sport  Dakar 4x2,270000000,108000,Diesel,Otomatis,Surabaya,7,2477 CC,https://www.oto.com/detail-mobil-bekas/mitsubishi-pajero-sport-2015-dakar-4x2-594150,oto
2010 Honda CR-V  2.0L,140000000,100000,Bensin,Cvt,Jakarta Timur,5,1997 CC,https://www.oto.com/detail-mobil-bekas/honda-cr-v-2018-2022-2-0l-612236,oto
2018 Honda Brio Satya E CVT,125000000,89000,Bensin,Cvt,Tangerang,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-cvt-616245,oto
2022 Honda Brio Satya E CVT,160000000,20000,Bensin,Cvt,Jakarta Timur,5,1199 CC,https://www.oto.com/detail-mobil-bekas/honda-brio-satya-e-cvt-617837,oto
2014 Toyota Rush G AT,139000000,158000,Bensin,Otomatis,Depok,7,1496 CC,https://www.oto.com/detail-mobil-bekas/toyota-rush-g-at-615851,oto
2005 Toyota Innova BENSIN E 2.0L AT,100000000,100000,Bensin,Unknown,Jakarta Pusat,0,Unknown,https://www.oto.com/detail-mobil-bekas/toyota-innova-bensin-e-2-0l-at-616002,oto
2023 Daihatsu Xenia  1.3 R MT SPORTY,160000000,24000,Bensin,Unknown,Surabaya,0,Unknown,https://www.oto.com/detail-mobil-bekas/daihatsu-xenia-2009-2018-1-3-r-mt-sporty-615636,oto
