[2024-08-15T07:00:01.511+0700] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-08-15T07:05:12.976+0700] {logging_mixin.py:188} INFO - Fetching page 17 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:16.466+0700] {logging_mixin.py:188} INFO - Fetching page 18 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:20.781+0700] {logging_mixin.py:188} INFO - Fetching page 19 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:24.139+0700] {logging_mixin.py:188} INFO - Fetching page 20 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:26.554+0700] {logging_mixin.py:188} INFO - Fetching page 21 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:28.819+0700] {logging_mixin.py:188} INFO - Fetching page 22 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:31.977+0700] {logging_mixin.py:188} INFO - Fetching page 23 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:34.285+0700] {logging_mixin.py:188} INFO - Fetching page 24 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:39.420+0700] {logging_mixin.py:188} INFO - Fetching page 25 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:44.087+0700] {logging_mixin.py:188} INFO - Fetching page 26 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:49.626+0700] {logging_mixin.py:188} INFO - Fetching page 27 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:53.568+0700] {logging_mixin.py:188} INFO - Fetching page 28 of 131 for price category: dibawah-60-juta
[2024-08-15T07:05:58.764+0700] {logging_mixin.py:188} INFO - Fetching page 29 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:03.614+0700] {logging_mixin.py:188} INFO - Fetching page 30 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:06.327+0700] {logging_mixin.py:188} INFO - Fetching page 31 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:09.334+0700] {logging_mixin.py:188} INFO - Fetching page 32 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:14.666+0700] {logging_mixin.py:188} INFO - Fetching page 33 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:17.914+0700] {logging_mixin.py:188} INFO - Fetching page 34 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:20.091+0700] {logging_mixin.py:188} INFO - Fetching page 35 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:22.351+0700] {logging_mixin.py:188} INFO - Fetching page 36 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:24.182+0700] {logging_mixin.py:188} INFO - Fetching page 37 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:26.341+0700] {logging_mixin.py:188} INFO - Fetching page 38 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:31.317+0700] {logging_mixin.py:188} INFO - Fetching page 39 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:36.020+0700] {logging_mixin.py:188} INFO - Fetching page 40 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:38.796+0700] {logging_mixin.py:188} INFO - Fetching page 41 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:40.681+0700] {logging_mixin.py:188} INFO - Fetching page 42 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:42.576+0700] {logging_mixin.py:188} INFO - Fetching page 43 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:47.381+0700] {logging_mixin.py:188} INFO - Fetching page 44 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:50.635+0700] {logging_mixin.py:188} INFO - Fetching page 45 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:54.237+0700] {logging_mixin.py:188} INFO - Fetching page 46 of 131 for price category: dibawah-60-juta
[2024-08-15T07:06:56.741+0700] {logging_mixin.py:188} INFO - Fetching page 47 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:01.378+0700] {logging_mixin.py:188} INFO - Fetching page 48 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:05.500+0700] {logging_mixin.py:188} INFO - Fetching page 49 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:09.534+0700] {logging_mixin.py:188} INFO - Fetching page 50 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:11.776+0700] {logging_mixin.py:188} INFO - Fetching page 51 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:15.688+0700] {logging_mixin.py:188} INFO - Fetching page 52 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:19.308+0700] {logging_mixin.py:188} INFO - Fetching page 53 of 131 for price category: dibawah-60-juta
[2024-08-15T07:07:21.237+0700] {logging_mixin.py:188} INFO - Fetching page 54 of 131 for price category: dibawah-60-juta
