Title,Price,KM,Fuel Type,Transmission,Location,Seats,Engine,Link
2014 Nissan March 1.2 L AT Hitam Istimewa,80000000.0,80000.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-jawa-barat-bojongsari/14905859
2018 Wuling Confero 1.5 S L Lux Wagon KM 56rb MT Manual 2019,90000000.0,52500.0,Pertamax,N/A,Jakarta Barat,8.0,N/A,https://www.mobil123.com/dijual/wuling-confero-s-l-lux-dki-jakarta-tambora/14986598
2023 Suzuki Carry 1.5 WD Pick-up,89000000.0,37500.0,Pertamax,N/A,Jakarta Selatan,3.0,N/A,https://www.mobil123.com/dijual/suzuki-carry-wd-dki-jakarta-cilandak/14986370
2012 Nissan March 1.2 1.2L Hatchback AT,88000000.0,137500.0,Pertamax,N/A,Surabaya,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-1-2l-jawa-timur-surabaya/14663962
2016 Daihatsu Ayla 1.0 X Hatchback,82000000.0,67500.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-jawa-barat-sukmajaya/14502446?carsome=true
2011 Hyundai i20 1.4 SG Hatchback,88000000.0,152500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/hyundai-i20-sg-banten-cipondoh/14952807
2007 Honda Jazz 1.5 VTEC Hatchback at cvt gd3 idsi gk5 yaris swift 2004 2005 2006 2008 2009 2010,85000000.0,117500.0,Pertamax,N/A,Jakarta Barat,5.0,N/A,https://www.mobil123.com/dijual/honda-jazz-vtec-dki-jakarta-tambora/14948059
2014 Daihatsu Ayla 1.0 M Hatchback,80000000.0,72500.0,Pertamax,N/A,Surabaya,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-m-jawa-timur-surabaya/14984903
2015 Nissan Grand Livina 1.5 SV MPV,85000000.0,107500.0,Pertamax,N/A,Jakarta Barat,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-sv-dki-jakarta-joglo/14984490
2016 Daihatsu Ayla 1.0 X Elegant Hatchback - PROMO DP MURAH 3Jt // MOBIL BERGARANSI,82000000.0,62500.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-elegant-jawa-barat-cibinong/14966656
2016 Daihatsu Ayla 1.0 X Hatchback - DP CUKUP 3.000.000,82000000.0,62500.0,Pertamax,N/A,Jakarta Timur,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-cawang/14862917
2015 Daihatsu Gran Max 1.3 AC Van,86000000.0,102500.0,Pertamax,N/A,Malang,2.0,N/A,https://www.mobil123.com/dijual/daihatsu-gran-max-ac-jawa-timur-gondanglegi/14924932
2015 Nissan Grand Livina 1.5 SV MPV,86000000.0,107500.0,Pertamax,N/A,Jakarta Timur,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-sv-dki-jakarta-duren-sawit/14981388
2008 Suzuki APV 1.5 SGX Arena Van AT Low KM Rawatan,88000000.0,172500.0,Pertamax,N/A,Jakarta Selatan,7.0,N/A,https://www.mobil123.com/dijual/suzuki-apv-sgx-arena-dki-jakarta-cilandak/14117333
2009 Toyota Yaris 1.5 E Hatchback Manual Sangat Terawat,89000000.0,112500.0,Pertamax,N/A,Jakarta Selatan,5.0,N/A,https://www.mobil123.com/dijual/toyota-yaris-e-dki-jakarta-cilandak/14253460
2016 Suzuki Karimun Wagon R 1.0 GS Wagon R Hatchback Matic Jual Cepat,85000000.0,72500.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/suzuki-karimun-wagon-r-gs-wagon-r-jawa-barat-bogor-kota/14567569
2013 Daihatsu Sirion 1.3 D FMC Hatchback MATIC,88000000.0,62500.0,Pertamax,N/A,Semarang,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-sirion-d-fmc-jawa-tengah-semarang-tengah/14981716
2008 Toyota Yaris 1.5 S Limited Hatchback,80000000.0,127500.0,Pertamax,N/A,Jakarta Pusat,5.0,N/A,https://www.mobil123.com/dijual/toyota-yaris-s-limited-dki-jakarta-kemayoran/14953953
2012 Daihatsu Xenia 1.3 X MPV,89000000.0,157500.0,Pertamax,N/A,Bogor,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-x-jawa-barat-gunung-sindur/14981431
"( TDP 25jt ) Daihatsu Xenia 1,3 Xi DELUXE MPV 2010 Silver Kondisi Istimewa bergaransi dan dijamin siap pakai #Kawanmobilbekas ",83000000.0,125000.0,Pertamax,N/A,Jakarta Selatan,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-xi-deluxe-dki-jakarta-kebayoran-baru/14981439
2012 Daihatsu Xenia 1.3 X MPV,89000000.0,157500.0,Pertamax,N/A,Bogor,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-x-jawa-barat-karang-tengah/14981033
"2013 Nissan March 1,2 XS Hatchback",87000000.0,80087.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/nissan-march-xs-jawa-barat-tamansari/14981009
2016 Daihatsu Ayla 1.0 X Hatchback dapatkan promo bunga 0 persen dan cashback 2jt kuota terbatas,82000000.0,62500.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-jawa-barat-cibinong/14955712
2012 Suzuki Splash 1.2 GL Hatchback Plat AG nopi mobil bekas bisa tukar tambah sekoto kediri jatim,85000000.0,77500.0,Pertamax,N/A,Kediri,5.0,N/A,https://www.mobil123.com/dijual/suzuki-splash-gl-jawa-timur-kediri/14979523
2012 Daihatsu Xenia 1.3 X MPV,89000000.0,157500.0,Pertamax,N/A,Depok,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-x-jawa-barat-cisalak/14979329
2014 Daihatsu Ayla 1.0 M Hatchback,80000000.0,72500.0,Pertamax,N/A,Surabaya,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-m-jawa-timur-surabaya/14978599
"2012 Mitsubishi Mirage 1,2 EXCEED Hatchback",90000000.0,68000.0,Pertamax,N/A,Jakarta Utara,5.0,N/A,https://www.mobil123.com/dijual/mitsubishi-mirage-exceed-dki-jakarta-mangga-dua/14726128
2010 Toyota Avanza 1.3 E MPV Plat AG mujiono bisa tukar tambah Sekoto kediri jatim,82000000.0,297500.0,Pertamax,N/A,Kediri,7.0,N/A,https://www.mobil123.com/dijual/toyota-avanza-e-jawa-timur-kediri/14976817
2004 Toyota Avanza 1.3 G MPV,84000000.0,147500.0,Pertamax,N/A,Surabaya,7.0,N/A,https://www.mobil123.com/dijual/toyota-avanza-g-jawa-timur-surabaya/14785772
2012 Daihatsu Xenia 1.3 X MPV,89000000.0,157500.0,Pertamax,N/A,Bogor,7.0,N/A,https://www.mobil123.com/dijual/daihatsu-xenia-x-jawa-barat-tajur/14976360
2005 Mitsubishi Grandis 2.4 MPV Mivec At Harga Nego Mobil Bekas Jawa Timur,81000000.0,1234.0,Pertamax,N/A,Malang,7.0,N/A,https://www.mobil123.com/dijual/mitsubishi-grandis-jawa-timur-malang-kota/14150125
2017 Daihatsu Gran Max 1.5 STD Single Cab Pick-up,80000000.0,87500.0,Pertamax,N/A,Jakarta Barat,3.0,N/A,https://www.mobil123.com/dijual/daihatsu-gran-max-std-single-cab-dki-jakarta-cengkareng/14571968
"2014 Toyota Etios Valco 1,2 E Hatchback Mt Promo Kredit DP Ringan Mobil Bekas Malang ",90000000.0,1234.0,Pertamax,N/A,Malang,5.0,N/A,https://www.mobil123.com/dijual/toyota-etios-valco-e-jawa-timur-malang-kota/13934444
2006 Toyota Vios 1.5 G Sedan,88000000.0,82500.0,Pertamax,N/A,Jakarta Barat,5.0,N/A,https://www.mobil123.com/dijual/toyota-vios-g-dki-jakarta-cengkareng/14485910
2016 Daihatsu Ayla 1.0 X Hatchback,82000000.0,62500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-banten-alam-sutera/14805289
2016 Datsun GO+ 1.2 T-OPTION MPV KM 72 RB,85000000.0,72500.0,Pertamax,N/A,Surabaya,7.0,N/A,https://www.mobil123.com/dijual/datsun-go%2B-t-option-jawa-timur-surabaya/14973930
2013 Nissan Livina X-Gear 1.5 X-Gear SUV DP 3 JUTAAN,85000000.0,132500.0,Pertamax,N/A,Bogor,5.0,N/A,https://www.mobil123.com/dijual/nissan-livina-x-gear-x-gear-jawa-barat-tajur/14861790
2015 Nissan Grand Livina 1.5 SV MPV,90000000.0,102500.0,Pertamax,N/A,Jakarta Barat,7.0,N/A,https://www.mobil123.com/dijual/nissan-grand-livina-sv-dki-jakarta-tambora/14970570
2016 Daihatsu Ayla 1.0 D Hatchback Siap Pakai / Pajak Panjang / Bunga 0 / Spesial Price / Good Condition / DP Kecil,82000000.0,62500.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-d-jawa-barat-depok/14919636
2016 Daihatsu Ayla 1.0 D Hatchback Siap Pakai / Pajak Panjang / Bunga 0 / Spesial Price / Good Condition / DP Kecil,82000000.0,62500.0,Pertamax,N/A,Depok,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-d-jawa-barat-depok/14868148
2012 Mazda 2 1.5 R Hatchback AT Hijau Murah Bagus,89000000.0,127500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/mazda-2-r-banten-karawaci/13896400
2016 Suzuki Mega Carry 1.5 Xtra Single Cab Pick-up,89000000.0,27500.0,Pertamax,N/A,Tangerang,2.0,N/A,https://www.mobil123.com/dijual/suzuki-mega-carry-xtra-single-cab-banten-karawaci/14968739
2014 Mazda 2 1.5 V Hatchback Manual Hitam Istimewa,88000000.0,102500.0,Pertamax,N/A,Tangerang,5.0,N/A,https://www.mobil123.com/dijual/mazda-2-v-banten-karawaci/14852557
2016 Daihatsu Ayla 1.0 X Hatchback - PROMO DP MINIM - ANGSURAN RINGAN - TUKAR TAMBAH KENDARAAN,80000000.0,62500.0,Pertamax,N/A,Jakarta Barat,5.0,N/A,https://www.mobil123.com/dijual/daihatsu-ayla-x-dki-jakarta-daan-mogot/14967662
